Month,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,Mountain,West South Central,Pacific Noncontiguous,Pacific Contiguous
13-Feb,10218.44425,38004.40285,55458.62916,30117.51221,63669.03582,32351.02879,32280.27937,53332.39944,1471.16561,32064.48042
13-Jan,9783.06735,35612.95236,52273.07699,29120.62065,60226.44775,31198.30735,31047.10723,52106.927,1734.83526,31531.40722
12-Dec,9138.79562,31509.69268,48103.81366,25764.68949,56716.10361,29727.29361,28537.38699,46974.10156,1464.86733,28039.10646
12-Nov,9113.10672,32161.5389,46231.33326,25529.68954,58153.58546,28028.23628,30137.04812,51074.32023,1513.79604,29709.27614
12-Oct,10040.36889,34347.46624,46687.87233,26705.10151,63244.57737,30385.2108,32006.63266,58022.25281,1374.15922,31771.92084
12-Aug,12412.58179,44015.32593,63212.93007,33864.34085,79299.62573,39422.85628,35724.7535,70309.4905,1359.8322,35019.48063
12-Jun,10231.51832,36293.75712,53901.72297,28936.97137,66747.88539,33915.97461,32254.62811,64924.88817,1326.01966,32292.01518
12-May,9566.44212,33937.19121,49289.74839,25665.77391,64937.40093,31191.00693,28455.24598,59624.40132,1394.75912,32454.18608
12-Apr,9717.2238,33608.1025,47489.33881,24777.5433,55466.68061,27456.85007,27676.74588,50444.74568,1482.92344,30969.39799
12-Mar,9632.67811,34060.60084,50115.33519,25405.93478,54834.86342,28631.85489,28359.44563,49143.59839,1403.62853,27801.49275
12-Feb,10524.17368,37514.29486,54641.11225,27983.8571,60857.08042,31880.10349,30860.52285,53114.62684,1573.36889,30577.33971
12-Jan,10251.87941,35965.931,52047.73124,28539.36497,58933.20808,31580.59631,31638.58282,52649.64351,1563.48971,32570.03571
11-Dec,9407.60662,33931.82749,47301.23524,25697.76974,52999.09026,28976.67869,27996.38116,47030.74755,1525.67125,29235.14646
11-Nov,8923.04862,34498.19787,47922.7485,25882.94822,53917.96317,28671.67899,29292.35759,49682.61788,1482.22308,28424.71967
11-Oct,10437.09529,35451.3017,49329.70604,25709.8297,64163.55807,30507.70977,32198.40314,58047.88215,1410.32283,30675.5089
11-Sep,11785.36513,40333.89234,60919.10146,31052.94242,76579.31702,38439.88801,36787.78556,74562.66315,1440.10032,34610.25931
11-Aug,12567.03449,43551.29264,65180.28064,33043.95044,79741.39879,39265.44522,35931.30833,72802.87326,1426.13967,35183.03115
11-Jun,10331.75569,36894.79036,54359.21327,28531.956,72577.44583,35331.47173,30494.75307,66120.52568,1371.28354,31713.81985
11-May,9384.74101,33840.2204,47318.17563,25544.93386,63714.528,29333.59468,27460.97943,55359.37945,1426.48621,30245.19937
11-Apr,10230.53219,32950.35278,51909.59068,26921.39454,57311.77652,30644.53396,28358.26182,47381.24584,1545.62547,31456.62711
11-Mar,9809.45147,33426.50199,49839.17038,27076.45734,55727.78103,30267.18497,27858.94605,48355.90513,1435.14468,29330.06402
11-Feb,11324.53112,38013.9099,57958.99096,30720.36088,68880.66864,36646.85527,30947.06177,55008.22355,1552.21547,31819.07539
11-Jan,11265.9416,39075.81746,57505.2911,30176.59817,72704.15705,35912.546,30963.38642,51966.64777,1573.36872,30975.32701
10-Dec,10381.86589,34334.70701,49477.48584,25741.99896,53826.46486,27301.80276,28394.27035,45911.52802,1454.67572,29184.82976
10-Nov,10554.49414,32866.13275,24657.82586,55393.80794,27476.7054,28903.00297,47670.36083,1508.08478,29834.68961,30328.35907
10-Oct,11189.5095,36242.48663,51102.56878,26148.96119,67028.59715,32094.30679,32668.08312,57807.2071,1435.09251,34053.13976
10-Sep,12623.77993,41554.43569,63631.55461,32352.22962,79531.03409,37592.46182,35738.28264,70310.92667,1496.31055,34788.23474
10-Jul,13561.28283,43138.58958,63685.7629,31813.12451,81655.65068,37493.4215,36678.24123,65460.96399,1450.16845,29017.16649
10-Jun,9558.29829,33698.1896,50194.08637,26021.45162,65900.56941,29637.52203,28422.18323,54038.03792,1448.98662,28029.57664
10-May,8864.19088,29249.78765,45203.85811,23885.56088,54610.55838,25686.36592,26927.01727,43925.32434,1417.98652,29387.10407
